day,date,weekday,phase,focus,target,risk_rule,decision
1,2026-08-31,Monday,PAPER,Baseline the workflow,Complete every log field; zero live capital and zero unrecorded decisions.,No live capital,"Log the qualifying trade as if live, including skip/reject outcomes."
2,2026-09-01,Tuesday,PAPER,Opening-price discipline,Measure fill slippage; simulated entry must remain within 10 bps of the official open.,No live capital,"Log the qualifying trade as if live, including skip/reject outcomes."
3,2026-09-02,Wednesday,PAPER,Cost ledger,"Capture brokerage, taxes, fees, and slippage separately; compute net PnL only after all costs.",No live capital,"Log the qualifying trade as if live, including skip/reject outcomes."
4,2026-09-03,Thursday,PAPER,Long-leg rehearsal,"If a gap-down signal appears, execute the paper long exactly; otherwise record NO TRADE.",No live capital,"Log the qualifying trade as if live, including skip/reject outcomes."
5,2026-09-04,Friday,PAPER,Short-leg rehearsal,Confirm Zerodha intraday-short availability before simulating a gap-up fade.,No live capital,"Log the qualifying trade as if live, including skip/reject outcomes."
6,2026-09-07,Monday,PAPER,Spread filter,Skip any opening spread above 0.50%; target zero exceptions.,No live capital,"Log the qualifying trade as if live, including skip/reject outcomes."
7,2026-09-08,Tuesday,PAPER,Priority rule,"When signals collide, select only the highest-ranked watchlist name.",No live capital,"Log the qualifying trade as if live, including skip/reject outcomes."
8,2026-09-09,Wednesday,PAPER,Stop mechanics,Record the exact 1% stop trigger and achievable stop fill; never widen it.,No live capital,"Log the qualifying trade as if live, including skip/reject outcomes."
9,2026-09-10,Thursday,PAPER,No-trade discipline,Do not manufacture a trade when no eligible ±1% gap exists.,No live capital,"Log the qualifying trade as if live, including skip/reject outcomes."
10,2026-09-11,Friday,PAPER,Checkpoint one,Audit the first ten sessions; target 100% rule adherence and reconcile every rupee.,No live capital,"Log the qualifying trade as if live, including skip/reject outcomes."
11,2026-09-15,Tuesday,PAPER,Post-holiday reset,Refresh prior closes and restrictions after the exchange holiday; assume nothing carried over.,No live capital,"Log the qualifying trade as if live, including skip/reject outcomes."
12,2026-09-16,Wednesday,PAPER,Fill repeatability,Keep average absolute entry slippage at or below 10 bps.,No live capital,"Log the qualifying trade as if live, including skip/reject outcomes."
13,2026-09-17,Thursday,PAPER,Long/short balance,Verify both directions are being logged; do not force the missing side.,No live capital,"Log the qualifying trade as if live, including skip/reject outcomes."
14,2026-09-18,Friday,PAPER,Liquidity check,Confirm normal order depth and reject any circuit or surveillance-constrained setup.,No live capital,"Log the qualifying trade as if live, including skip/reject outcomes."
15,2026-09-21,Monday,PAPER,Ranking fidelity,Use the frozen priority order; target zero discretionary substitutions.,No live capital,"Log the qualifying trade as if live, including skip/reject outcomes."
16,2026-09-22,Tuesday,PAPER,Loss-sequence drill,"After three consecutive losses, mark the pilot PAUSED and take no further signals.",No live capital,"Log the qualifying trade as if live, including skip/reject outcomes."
17,2026-09-23,Wednesday,PAPER,High-water mark,Update simulated closing equity and peak equity; recompute the 5% drawdown boundary.,No live capital,"Log the qualifying trade as if live, including skip/reject outcomes."
18,2026-09-24,Thursday,PAPER,Exit discipline,Close or simulate close by 15:15 IST; target zero overnight positions.,No live capital,"Log the qualifying trade as if live, including skip/reject outcomes."
19,2026-09-25,Friday,PAPER,Pre-gate audit,Count valid signals and identify missing evidence; extend paper mode if any gate is incomplete.,No live capital,"Log the qualifying trade as if live, including skip/reject outcomes."
20,2026-09-28,Monday,PAPER,Paper gate decision,"PASS only with ≥10 signals, positive net PnL, ≤10 bps mean slippage, <3% drawdown, and no breaches.",No live capital,"Log the qualifying trade as if live, including skip/reject outcomes."
21,2026-09-29,Tuesday,HALF-SIZE IF GATE PASSED,Conditional half-size launch,"If the gate passed, risk 0.25% of current equity; otherwise continue paper mode.",0.25% of current equity; 25% maximum notional,Trade half-size only if Day 20 passed; otherwise perform the identical action on paper.
22,2026-09-30,Wednesday,HALF-SIZE IF GATE PASSED,First-live reconciliation,Match broker contract note to the log before the next trade; target zero unexplained charges.,0.25% of current equity; 25% maximum notional,Trade half-size only if Day 20 passed; otherwise perform the identical action on paper.
23,2026-10-01,Thursday,HALF-SIZE IF GATE PASSED,Compounding check,"Use yesterday's settled closing equity—not INR 10,000—to calculate today's size.",0.25% of current equity; 25% maximum notional,Trade half-size only if Day 20 passed; otherwise perform the identical action on paper.
24,2026-10-05,Monday,HALF-SIZE IF GATE PASSED,Execution stability,Target a valid fill within 10 bps; skip rather than chase.,0.25% of current equity; 25% maximum notional,Trade half-size only if Day 20 passed; otherwise perform the identical action on paper.
25,2026-10-06,Tuesday,HALF-SIZE IF GATE PASSED,Mid-pilot review,Keep aggregate half-size PnL net positive and live drawdown below 3%; otherwise return to paper.,0.25% of current equity; 25% maximum notional,Trade half-size only if Day 20 passed; otherwise perform the identical action on paper.
26,2026-10-07,Wednesday,HALF-SIZE IF GATE PASSED,Stop-loss audit,Verify planned loss equals at most 0.25% of current equity at half size.,0.25% of current equity; 25% maximum notional,Trade half-size only if Day 20 passed; otherwise perform the identical action on paper.
27,2026-10-08,Thursday,HALF-SIZE IF GATE PASSED,Restriction audit,Recheck MIS/short availability and surveillance status before any order.,0.25% of current equity; 25% maximum notional,Trade half-size only if Day 20 passed; otherwise perform the identical action on paper.
28,2026-10-09,Friday,HALF-SIZE IF GATE PASSED,Behaviour audit,"No revenge trade, second trade, averaging down, or rule change after a loss.",0.25% of current equity; 25% maximum notional,Trade half-size only if Day 20 passed; otherwise perform the identical action on paper.
29,2026-10-12,Monday,HALF-SIZE IF GATE PASSED,Final signal collection,Complete the tenth half-size signal only if eligible; elapsed days alone do not pass the gate.,0.25% of current equity; 25% maximum notional,Trade half-size only if Day 20 passed; otherwise perform the identical action on paper.
30,2026-10-13,Tuesday,HALF-SIZE IF GATE PASSED,Thirty-session decision,"Scale no further unless ten live signals are net positive, slippage ≤10 bps, drawdown <3%, and breaches = 0.",0.25% of current equity; 25% maximum notional,Trade half-size only if Day 20 passed; otherwise perform the identical action on paper.
